month,member_casual,avg_duration_min,median_duration_min
2024-06-01,casual,71.49418768251876,15.027241667111713
2024-06-01,member,23.7637338282645,10.313300001621249
2024-07-01,casual,23.993517392987105,14.105033334096271
2024-07-01,member,13.414467538375387,9.746791666746141
2024-08-01,casual,22.50207723070788,13.442950000365578
2024-08-01,member,13.101679906268425,9.53576666712761
2024-09-01,casual,19.27354856147978,11.425799997647603
2024-09-01,member,12.128283499552063,8.844183333714803
2024-10-01,casual,20.25349992038291,11.440791664520898
2024-10-01,member,11.81789162008073,8.516074999173483
2024-11-01,casual,16.378945096934014,9.191766667366029
2024-11-01,member,10.929422019582818,7.741366666555405
2024-12-01,casual,13.867963521476419,8.215883332490922
2024-12-01,member,10.61712470878734,7.401808333396912
2025-01-01,casual,11.872866247384644,7.066750001907349
2025-01-01,member,9.970459690099478,6.872933336098989
2025-02-01,casual,12.420113806303313,7.378500000635783
2025-02-01,member,9.954842224040108,7.002574998140336
2025-03-01,casual,17.880124896426402,10.576266666253408
2025-03-01,member,11.13228553243269,7.889766669273376
2025-04-01,casual,18.657418686639485,10.708483334382375
2025-04-01,member,11.273021766038992,8.083350000778832
2025-05-01,casual,20.823643875196233,12.259808333714803
2025-05-01,member,11.899857476915347,8.716025000810625
2025-06-01,casual,21.898401352728513,13.383883333206176
2025-06-01,member,12.84625257908167,9.585125001271566
